Journal,Name,Role,Gender,Country,Year of PhD,Anglophone Country,,,,,,,,,,,,,,,,,,,
PSP,Myles Gould,Board,Male,UK,1993,Yes,,,,,,,,,,,,,,,,,,,
TGIS,Anthony Stefanidis,Board,Male,USA,1993,Yes,,,,,,,,,,,,,,,,,,,
PSP,Martin Bell,Board,Male,Australia,1994,Yes,,,,,,,,,,,,,,,,,,,
PSP,Bruce Newbold,Board,Male,Canada,1994,Yes,,,,,,,,,,,,,,,,,,,
JTG,James Wang,Board,Male,Hong Kong,1994,No,,,,,,,,,,,,,,,,,,,
PSP,Jianfa Shen,Board,Male,Hong Kong,1994,No,,,,,,,,,,,,,,,,,,,
IJGIS,Yukio Sadahiro,Board,Male,Japan,1994,No,,,,,,,,,,,,,,,,,,,
TGIS,Nicholas Tate,Board,Male,UK,1994,Yes,,,,,,,,,,,,,,,,,,,
CEUS,Sergio Rey,Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
EPB,Piyushimita Thakuriah,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
GA,Mei-Po Kwan,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
GA,Sergio Rey,Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,May Yuan,Editor in Chief,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Dawn Wright,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Mei-Po Kwan,Board,Female,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,"Robert Gilmore Pontius, Jr.",Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
IJGIS,Sergio Rey,Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
JTG,Benjamin Zhan,Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
JTG,Jean-Paul Rodrigue,Board,Male,USA,1994,Yes,,,,,,,,,,,,,,,,,,,
